date,temp,rh,precp
2015/01/01,18.54,64.42,0
2015/01/02,18.03,63.96,0
2015/01/03,18.8,65.29,0
2015/01/04,20.87,60.0,0
2015/01/05,21.93,62.25,0
2015/01/06,23.21,66.5,0
2015/01/07,20.98,71.42,0
2015/01/08,18.04,64.42,0
2015/01/09,19.16,64.67,0
2015/01/10,19.46,61.04,0
2015/01/11,20.19,64.12,0
2015/01/12,21.47,67.83,0
2015/01/13,20.77,71.58,0
2015/01/14,19.85,71.04,1
2015/01/15,19.28,69.42,0
2015/01/16,19.29,68.08,0
2015/01/17,18.4,70.21,0
2015/01/18,18.25,64.58,0
2015/01/19,18.26,73.29,0
2015/01/20,20.22,73.58,0
2015/01/21,20.36,71.42,0
2015/01/22,19.56,52.25,0
2015/01/23,18.48,58.96,0
2015/01/24,19.32,56.17,0
2015/01/25,22.0,54.54,0
2015/01/26,22.12,64.88,0
2015/01/27,21.2,76.54,5
2015/01/28,20.47,73.58,0
2015/01/29,20.5,71.12,0
2015/01/30,20.13,72.67,0
2015/01/31,18.73,70.62,0
2015/02/01,19.24,69.92,0
2015/02/02,19.42,70.79,0
2015/02/03,19.71,73.33,0
2015/02/04,19.57,72.25,0
2015/02/05,16.97,66.54,0
2015/02/06,17.08,64.25,0
2015/02/07,18.57,67.83,0
2015/02/08,18.05,67.08,0
2015/02/09,16.23,59.46,0
2015/02/10,16.46,66.5,0
2015/02/11,18.21,67.54,0
2015/02/12,19.73,52.96,0
2015/02/13,19.97,58.0,0
2015/02/14,21.27,54.96,0
2015/02/15,23.5,58.62,0
2015/02/16,23.28,73.46,4
2015/02/17,22.72,75.0,0
2015/02/18,21.95,72.71,0
2015/02/19,21.1,68.79,0
2015/02/20,21.68,68.67,0
2015/02/21,22.75,69.42,10
2015/02/22,22.9,80.42,24
2015/02/23,23.9,75.88,0
2015/02/24,23.35,76.08,0
2015/02/25,23.68,74.5,0
2015/02/26,24.88,73.54,0
2015/02/27,23.34,74.25,0
2015/02/28,23.53,74.12,0
2015/03/01,22.48,71.0,0
2015/03/02,21.08,69.79,0
2015/03/03,23.75,74.25,0
2015/03/04,22.84,75.33,0
2015/03/05,23.04,71.29,0
2015/03/06,22.72,73.42,0
2015/03/07,22.71,71.79,0
2015/03/08,22.71,73.67,0
2015/03/09,23.8,69.25,0
2015/03/10,20.29,68.21,0
2015/03/11,20.28,67.88,0
2015/03/12,20.28,69.0,0
2015/03/13,21.31,72.83,0
2015/03/14,23.05,74.46,0
2015/03/15,25.29,73.83,0
2015/03/16,25.63,79.92,0
2015/03/17,25.81,75.0,0
2015/03/18,25.3,71.42,0
2015/03/19,25.62,75.92,0
2015/03/20,25.6,73.46,0
2015/03/21,25.57,72.58,0
2015/03/22,25.06,71.67,0
2015/03/23,23.83,68.83,0
2015/03/24,22.82,70.17,0
2015/03/25,22.5,67.54,0
2015/03/26,22.82,71.29,0
2015/03/27,24.76,69.12,0
2015/03/28,23.97,71.79,0
2015/03/29,24.85,70.54,0
2015/03/30,26.17,69.71,0
2015/03/31,26.82,76.33,0
2015/04/01,26.44,81.0,0
2015/04/02,26.82,78.79,0
2015/04/03,26.93,78.62,0
2015/04/04,26.99,76.42,0
2015/04/05,28.35,71.62,0
2015/04/06,27.62,73.21,4
2015/04/07,26.98,72.96,0
2015/04/08,23.59,65.42,0
2015/04/09,24.13,64.67,0
2015/04/10,25.68,64.88,0
2015/04/11,22.48,73.0,2
2015/04/12,23.3,72.42,0
2015/04/13,24.05,56.08,0
2015/04/14,22.68,38.75,0
2015/04/15,23.9,54.12,0
2015/04/16,26.17,63.17,0
2015/04/17,26.58,74.17,0
2015/04/18,28.56,76.33,0
2015/04/19,27.95,77.08,0
2015/04/20,28.05,71.04,0
2015/04/21,25.99,76.62,2
2015/04/22,26.31,71.54,0
2015/04/23,26.61,68.5,0
2015/04/24,26.41,72.88,0
2015/04/25,26.46,72.67,0
2015/04/26,26.45,70.46,0
2015/04/27,27.2,68.5,0
2015/04/28,27.92,71.25,0
2015/04/29,27.57,74.21,0
2015/04/30,27.67,75.25,0
2015/05/01,28.14,73.08,0
2015/05/02,28.29,75.25,0
2015/05/03,28.45,75.46,0
2015/05/04,28.57,74.54,0
2015/05/05,27.52,75.58,9
2015/05/06,27.97,75.88,0
2015/05/07,28.34,74.0,0
2015/05/08,28.47,77.04,0
2015/05/09,28.94,76.83,0
2015/05/10,29.73,69.92,0
2015/05/11,28.41,72.38,0
2015/05/12,28.11,75.75,8
2015/05/13,28.32,76.42,0
2015/05/14,28.96,76.33,0
2015/05/15,28.98,77.62,0
2015/05/16,29.16,75.62,0
2015/05/17,29.05,73.75,0
2015/05/18,29.43,72.83,0
2015/05/19,30.08,70.12,0
2015/05/20,29.59,71.71,0
2015/05/21,26.97,72.08,27
2015/05/22,26.95,78.88,44
2015/05/23,25.79,86.83,48
2015/05/24,26.85,84.71,32
2015/05/25,26.48,86.0,62
2015/05/26,26.5,86.33,35
2015/05/27,28.12,79.96,6
2015/05/28,28.69,82.17,12
2015/05/29,29.66,82.21,0
2015/05/30,29.72,82.92,0
2015/05/31,28.44,80.0,16
2015/06/01,28.7,81.54,0
2015/06/02,29.3,79.42,0
2015/06/03,29.72,78.12,0
2015/06/04,29.68,77.67,0
2015/06/05,29.87,77.08,0
2015/06/06,29.51,76.75,0
