date,temp,rh,precp
2015/01/01,16.13,66.21,0
2015/01/02,15.2,65.33,0
2015/01/03,16.84,68.42,0
2015/01/04,18.97,64.88,0
2015/01/05,21.07,60.5,0
2015/01/06,21.57,70.71,0
2015/01/07,18.12,77.33,0
2015/01/08,15.25,64.67,0
2015/01/09,16.51,65.17,0
2015/01/10,17.1,66.46,0
2015/01/11,18.21,67.67,0
2015/01/12,19.81,66.04,0
2015/01/13,18.68,78.17,0
2015/01/14,17.1,81.75,14
2015/01/15,16.64,73.12,0
2015/01/16,17.14,74.12,0
2015/01/17,16.4,69.38,0
2015/01/18,15.93,69.46,0
2015/01/19,17.06,68.83,0
2015/01/20,18.36,71.0,0
2015/01/21,18.02,79.0,0
2015/01/22,17.12,58.96,0
2015/01/23,16.75,61.0,0
2015/01/24,17.88,61.12,0
2015/01/25,20.11,59.75,0
2015/01/26,19.4,76.29,0
2015/01/27,19.27,82.46,0
2015/01/28,18.32,74.29,0
2015/01/29,18.48,76.67,0
2015/01/30,17.61,79.17,0
2015/01/31,16.36,74.54,0
2015/02/01,17.04,74.33,0
2015/02/02,17.86,76.54,0
2015/02/03,17.94,80.38,0
2015/02/04,17.23,76.88,0
2015/02/05,14.42,69.08,0
2015/02/06,14.38,67.42,0
2015/02/07,16.21,75.0,0
2015/02/08,16.08,69.0,0
2015/02/09,13.4,62.29,0
2015/02/10,14.75,68.54,0
2015/02/11,16.23,71.83,0
2015/02/12,17.45,59.38,0
2015/02/13,18.0,61.08,0
2015/02/14,19.83,56.38,0
2015/02/15,21.9,52.79,0
2015/02/16,21.25,76.58,8
2015/02/17,20.62,79.29,0
2015/02/18,20.15,74.25,0
2015/02/19,19.51,71.62,0
2015/02/20,20.1,73.46,0
2015/02/21,21.43,75.25,14
2015/02/22,21.92,83.79,0
2015/02/23,20.98,84.83,0
2015/02/24,21.18,82.0,0
2015/02/25,22.64,78.08,0
2015/02/26,23.7,76.67,0
2015/02/27,21.28,78.46,0
2015/02/28,22.12,75.92,0
2015/03/01,19.85,73.54,0
2015/03/02,18.99,69.42,0
