date_num,date,count
921,2014-09-21,156
922,2014-09-22,165
923,2014-09-23,171
924,2014-09-24,150
925,2014-09-25,158
926,2014-09-26,171
927,2014-09-27,180
928,2014-09-28,191
929,2014-09-29,201
930,2014-09-30,232
1001,2014-10-01,260
1002,2014-10-02,268
1003,2014-10-03,270
1004,2014-10-04,258
1005,2014-10-05,265
1006,2014-10-06,283
1007,2014-10-07,235
1011,2014-10-11,283
1012,2014-10-12,293
1013,2014-10-13,338
1014,2014-10-14,374
1019,2014-10-19,422
1020,2014-10-20,464
1021,2014-10-21,438
1022,2014-10-22,382
1023,2014-10-23,371
1028,2014-10-28,402
1029,2014-10-29,363
1030,2014-10-30,374
1031,2014-10-31,402
1101,2014-11-01,436
1102,2014-11-02,395
1103,2014-11-03,420
1104,2014-11-04,467
1105,2014-11-05,436
1106,2014-11-06,418
1107,2014-11-07,416
1112,2014-11-12,329
1113,2014-11-13,339
1114,2014-11-14,334
1115,2014-11-15,311
1116,2014-11-16,292
1117,2014-11-17,309
1123,2014-11-23,100
1124,2014-11-24,39
