date_num,date,tainan_temperature,tainan_RH,tainan_precp,kaohsiung_temperature,kaohsiung_RH,kaohsiung_precp
921,2014-09-21,26.58,91.71,1,26.63,85.75,5
922,2014-09-22,27.2,83.67,0,28.11,79.62,0
923,2014-09-23,27.45,84.33,0,27.14,86.58,2
924,2014-09-24,28.7,79.46,0,28.6,81.0,0
925,2014-09-25,29.05,77.29,0,28.9,79.33,0
926,2014-09-26,29.48,73.54,0,29.42,75.38,0
927,2014-09-27,29.81,74.67,0,29.69,75.92,0
928,2014-09-28,29.28,75.79,0,29.2,77.38,0
929,2014-09-29,29.44,71.12,0,29.45,75.29,0
930,2014-09-30,29.3,72.83,0,29.46,74.75,0
1001,2014-10-01,29.34,72.08,0,29.38,74.29,0
1002,2014-10-02,28.44,76.5,0,28.87,76.04,0
1003,2014-10-03,27.98,70.12,0,28.58,74.96,0
1004,2014-10-04,26.1,63.0,0,27.1,66.62,0
1005,2014-10-05,25.96,66.25,0,27.42,66.29,0
1006,2014-10-06,26.19,64.62,0,27.31,65.96,0
1007,2014-10-07,25.85,62.0,0,27.1,63.21,0
1008,2014-10-08,26.45,63.04,0,26.97,64.62,0
1009,2014-10-09,26.77,68.29,0,27.36,68.58,0
1010,2014-10-10,27.22,72.79,0,28.16,72.5,0
1011,2014-10-11,26.62,72.92,0,28.65,68.62,0
1012,2014-10-12,26.0,66.71,0,27.3,67.17,0
1013,2014-10-13,26.16,63.42,0,26.95,66.12,0
1014,2014-10-14,24.76,63.12,0,26.29,67.5,0
1015,2014-10-15,24.44,61.29,0,25.88,65.29,0
1016,2014-10-16,24.58,62.58,0,25.63,63.46,0
1017,2014-10-17,25.2,63.08,0,26.1,62.67,0
1018,2014-10-18,25.9,66.96,0,26.18,65.42,0
1019,2014-10-19,26.43,70.42,0,26.3,70.33,0
1020,2014-10-20,27.07,73.96,0,27.03,71.25,0
1021,2014-10-21,27.7,68.67,0,27.92,68.33,0
1022,2014-10-22,27.3,66.67,0,28.19,68.33,0
1023,2014-10-23,25.97,64.79,0,26.92,71.54,0
1024,2014-10-24,25.78,68.38,0,26.87,68.75,0
1025,2014-10-25,26.07,74.0,0,26.82,72.5,0
1026,2014-10-26,26.17,78.29,0,27.27,73.25,0
1027,2014-10-27,27.0,75.0,0,27.39,76.33,0
1028,2014-10-28,26.34,67.58,0,27.21,73.75,0
1029,2014-10-29,26.1,71.21,0,26.89,71.92,0
1030,2014-10-30,26.17,73.92,0,26.47,74.79,0
1031,2014-10-31,26.35,72.62,0,26.56,74.62,0
1101,2014-11-01,26.54,73.08,0,27.09,69.88,0
1102,2014-11-02,25.82,73.83,0,27.19,71.38,0
1103,2014-11-03,23.09,62.08,0,25.09,68.17,0
1104,2014-11-04,23.5,61.58,0,24.85,65.33,0
1105,2014-11-05,23.96,66.42,0,25.03,69.71,0
1106,2014-11-06,24.06,68.79,0,25.03,67.42,0
1107,2014-11-07,24.74,69.17,0,25.34,72.21,0
1108,2014-11-08,25.06,72.92,0,25.63,70.46,0
1109,2014-11-09,24.42,74.46,0,25.89,71.96,0
1110,2014-11-10,24.1,73.46,0,25.23,74.12,0
1111,2014-11-11,24.33,71.38,0,25.24,74.96,0
1112,2014-11-12,24.42,69.62,0,25.59,72.12,0
1113,2014-11-13,22.38,70.29,0,24.91,69.75,0
1114,2014-11-14,21.79,73.58,0,24.64,67.33,0
1115,2014-11-15,23.02,72.88,0,24.81,70.38,0
1116,2014-11-16,23.4,77.67,0,24.6,73.08,0
1117,2014-11-17,22.65,77.96,0,24.36,77.79,0
1118,2014-11-18,21.55,67.33,0,23.34,70.29,0
1119,2014-11-19,22.05,68.42,0,23.7,68.46,0
1120,2014-11-20,22.04,74.29,0,23.52,70.25,0
1121,2014-11-21,23.11,77.38,0,24.81,70.33,0
1122,2014-11-22,23.41,78.08,0,25.04,72.12,0
1123,2014-11-23,24.47,73.83,0,25.08,73.25,0
1124,2014-11-24,24.18,73.96,0,24.7,73.54,0
1125,2014-11-25,23.97,76.08,0,25.05,71.17,0
1126,2014-11-26,24.34,74.0,0,26.17,69.58,0
1127,2014-11-27,25.0,74.54,0,26.03,73.88,0
1128,2014-11-28,25.4,79.79,0,26.36,77.75,0
1129,2014-11-29,25.42,81.29,0,26.5,78.46,0
1130,2014-11-30,26.15,77.83,0,26.64,77.5,0
1201,2014-12-01,23.13,68.58,0,25.1,68.38,0
1202,2014-12-02,17.56,76.75,0,21.15,69.21,0
1203,2014-12-03,20.81,75.5,0,22.9,71.08,0
1204,2014-12-04,17.39,81.71,0,20.32,74.92,0
1205,2014-12-05,16.07,75.42,0,18.55,76.71,0
1206,2014-12-06,17.69,67.75,0,20.55,72.0,0
1207,2014-12-07,19.94,70.71,0,21.47,65.42,0
1208,2014-12-08,19.16,76.62,0,21.47,67.08,0
1209,2014-12-09,19.6,74.38,0,21.32,71.46,0
1210,2014-12-10,21.25,79.54,0,23.37,71.92,0
1211,2014-12-11,20.69,78.21,0,23.1,73.38,0
1212,2014-12-12,16.13,73.96,0,18.7,71.54,0
1213,2014-12-13,16.7,60.75,0,18.97,63.88,0
1214,2014-12-14,18.24,65.29,0,20.28,60.58,0
1215,2014-12-15,20.06,74.29,0,22.1,65.79,0
1216,2014-12-16,17.77,64.88,0,20.17,62.71,0
1217,2014-12-17,14.04,51.92,0,17.06,52.62,0
1218,2014-12-18,15.76,60.62,0,18.61,61.08,0
1219,2014-12-19,16.63,73.46,0,18.42,65.58,0
1220,2014-12-20,17.51,72.83,0,19.47,70.21,0
1221,2014-12-21,17.07,69.96,0,19.71,66.21,0
1222,2014-12-22,15.39,62.0,0,17.5,65.62,0
1223,2014-12-23,17.62,64.25,0,19.55,65.79,0
1224,2014-12-24,19.79,70.83,0,22.0,65.0,0
1225,2014-12-25,17.97,77.33,0,19.87,76.33,0
1226,2014-12-26,17.62,80.38,0,20.06,78.96,0
1227,2014-12-27,17.7,80.04,0,20.06,76.33,0
1228,2014-12-28,16.65,82.54,0,18.98,78.42,0
1229,2014-12-29,15.86,62.75,0,18.0,63.58,0
