CODE2,CODE1,CODEBASE,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
二級發布區代碼,一級發布區代碼,最小統計區代碼,戶數,人口數,男性人口數,女性人口數,資料時間
A6701-01,A6701-01-001,A6701-0005-00,36,102,54,48,103Y12M
A6701-01,A6701-01-001,A6701-0012-00,64,169,88,81,103Y12M
A6701-01,A6701-01-002,A6701-0004-00,55,149,76,73,103Y12M
A6701-01,A6701-01-002,A6701-0009-00,61,164,91,73,103Y12M
A6701-01,A6701-01-002,A6701-0010-00,38,97,49,48,103Y12M
A6701-01,A6701-01-003,A6701-0006-00,54,167,93,74,103Y12M
A6701-01,A6701-01-004,A6701-0007-00,115,307,150,157,103Y12M
A6701-01,A6701-01-005,A6701-0008-00,4,11,6,5,103Y12M
A6701-01,A6701-01-005,A6701-0011-00,61,157,85,72,103Y12M
A6701-01,A6701-01-005,A6701-0015-00,55,137,69,68,103Y12M
A6701-01,A6701-01-006,A6701-0013-00,120,336,164,172,103Y12M
A6701-01,A6701-01-007,A6701-0014-00,95,303,153,150,103Y12M
A6701-01,A6701-01-008,A6701-0017-00,58,177,82,95,103Y12M
A6701-01,A6701-01-009,A6701-0028-00,61,195,98,97,103Y12M
A6701-01,A6701-01-009,A6701-0032-00,48,158,76,82,103Y12M
A6701-01,A6701-01-010,A6701-0019-00,43,119,64,55,103Y12M
A6701-01,A6701-01-010,A6701-0021-00,15,41,17,24,103Y12M
A6701-01,A6701-01-010,A6701-0027-00,20,62,32,30,103Y12M
A6701-01,A6701-01-010,A6701-0030-00,14,51,27,24,103Y12M
A6701-01,A6701-01-010,A6701-0044-00,12,23,12,11,103Y12M
A6701-02,A6701-02-001,A6701-0002-00,1,4,1,3,103Y12M
A6701-02,A6701-02-001,A6701-0003-00,10,27,18,9,103Y12M
A6701-02,A6701-02-001,A6701-0016-00,1,3,2,1,103Y12M
A6701-02,A6701-02-001,A6701-0022-00,8,25,14,11,103Y12M
A6701-02,A6701-02-001,A6701-0042-00,29,74,45,29,103Y12M
A6701-02,A6701-02-001,A6701-0047-00,18,38,19,19,103Y12M
A6701-02,A6701-02-001,A6701-0102-00,15,38,20,18,103Y12M
A6701-02,A6701-02-002,A6701-0154-00,124,313,145,168,103Y12M
