日期,區別,里別,病例數
2015/08/01,北區,五福里,1
2015/08/01,中西區,安海里,1
2015/08/01,永康區,二王里,1
2015/08/01,北區,和順里,1
2015/08/01,南區,大忠里,1
2015/08/01,北區,興南里,2
2015/08/01,歸仁區,武東里,0
2015/08/01,永康區,六合里,1
2015/08/01,中西區,西賢里,1
2015/08/01,安定區,蘇林里,1
2015/08/01,北區,正風里,1
2015/08/01,北區,三德里,1
2015/08/01,永康區,鹽行里,1
2015/08/01,北區,六甲里,3
2015/08/01,永康區,大橋里,1
2015/08/01,永康區,安康里,2
2015/08/01,仁德區,新田里,1
2015/08/01,北區,延平里,4
2015/08/01,南區,文華里,1
2015/08/01,永康區,五王里,1
2015/08/01,北區,大港里,1
2015/08/01,歸仁區,大潭里,1
2015/08/01,永康區,勝利里,1
2015/08/01,南區,鯤鯓里,1
2015/08/01,北區,正覺里,3
2015/08/01,安南區,幸福里,1
2015/08/01,中西區,民主里,1
2015/08/01,南區,金華里,1
2015/08/01,東區,路東里,1
2015/08/01,東區,裕聖里,1
2015/08/02,安南區,溪北里,1
2015/08/02,北區,和順里,1
2015/08/02,北區,成功里,1
2015/08/02,仁德區,成功里,1
2015/08/02,北區,興南里,1
2015/08/02,安南區,大安里,1
2015/08/02,永康區,鹽行里,1
2015/08/02,北區,正風里,1
2015/08/02,北區,成德里,2
2015/08/02,中西區,協和里,1
2015/08/02,永康區,西勢里,1
2015/08/02,北區,六甲里,1
2015/08/02,北區,延平里,3
2015/08/02,安南區,溪頂里,1
2015/08/02,安平區,文平里,1
2015/08/02,北區,文成里,2
2015/08/02,北區,正覺里,2
2015/08/02,永康區,尚頂里,1
2015/08/02,南區,文華里,1
2015/08/02,後壁區,新東里,1
2015/08/02,北區,大港里,1
2015/08/02,北區,大山里,2
2015/08/02,北區,永祥里,3
2015/08/02,南區,開南里,1
2015/08/02,安南區,公塭里,1
2015/08/02,北區,開元里,1
2015/08/02,北區,振興里,1
2015/08/02,安南區,安慶里,1
2015/08/02,永康區,五王里,1
2015/08/02,東區,東門里,1
2015/08/03,中西區,光賢里,1
2015/08/03,中西區,進學里,1
2015/08/03,中西區,安海里,1
2015/08/03,中西區,民生里,2
2015/08/03,北區,實踐里,1
2015/08/03,北區,勝安里,3
2015/08/03,北區,永祥里,3
2015/08/03,北區,成功里,1
2015/08/03,安南區,理想里,1
2015/08/03,北區,興南里,4
2015/08/03,安平區,平安里,1
2015/08/03,北區,文元里,3
2015/08/03,麻豆區,埤頭里,1
2015/08/03,南區,明興里,1
2015/08/03,安平區,建平里,1
2015/08/03,北區,興北里,2
2015/08/03,中西區,赤嵌里,1
2015/08/03,北區,正風里,3
2015/08/03,安南區,溪東里,1
2015/08/03,北區,成德里,3
2015/08/03,永康區,中興里,2
2015/08/03,永康區,鹽行里,1
2015/08/03,北區,六甲里,3
2015/08/03,北區,延平里,1
2015/08/03,中西區,協進里,1
2015/08/03,北區,大道里,1
2015/08/03,東區,虎尾里,1
2015/08/03,歸仁區,武東里,1
2015/08/03,北區,正覺里,5
2015/08/03,安南區,安順里,0
2015/08/03,安南區,溪北里,1
2015/08/03,北區,和順里,3
2015/08/03,安南區,安和里,2
2015/08/03,中西區,中正里,2
2015/08/03,安平區,育平里,1
2015/08/03,安南區,幸福里,1
2015/08/03,北區,小康里,1
2015/08/03,永康區,西灣里,1
2015/08/03,安南區,溪頂里,1
2015/08/03,北區,國興里,1
2015/08/03,永康區,烏竹里,1
2015/08/03,安南區,安慶里,2
2015/08/04,東區,中西里,1
2015/08/04,中西區,建國里,1
2015/08/04,安南區,梅花里,1
2015/08/04,北區,勝安里,1
2015/08/04,北區,和順里,2
2015/08/04,北區,成功里,1
2015/08/04,北區,中樓里,1
2015/08/04,安南區,淵東里,1
2015/08/04,東區,和平里,1
2015/08/04,安南區,溪東里,1
2015/08/04,安南區,海佃里,1
2015/08/04,永康區,復華里,1
2015/08/04,北區,三德里,1
2015/08/04,北區,六甲里,3
2015/08/04,北區,延平里,1
2015/08/04,中西區,民權里,1
2015/08/04,永康區,大橋里,1
2015/08/04,南區,明亮里,1
2015/08/04,安南區,溪頂里,1
2015/08/04,中西區,三民里,2
2015/08/04,安南區,溪北里,1
2015/08/04,北區,正覺里,4
2015/08/04,北區,光武里,1
2015/08/04,北區,成德里,5
2015/08/04,永康區,鹽洲里,1
2015/08/04,中西區,民生里,1
2015/08/04,安南區,鳳凰里,1
2015/08/04,永康區,勝利里,1
2015/08/04,南區,鯤鯓里,1
2015/08/04,安平區,國平里,2
2015/08/04,北區,永祥里,1
2015/08/04,北區,正風里,1
2015/08/04,北區,大道里,2
2015/08/04,安南區,安慶里,1
2015/08/04,南區,金華里,1
2015/08/04,永康區,五王里,2
2015/08/04,東區,東門里,1
2015/08/04,安平區,怡平里,1
2015/08/05,北區,實踐里,1
2015/08/05,東區,虎尾里,1
2015/08/05,北區,永祥里,2
2015/08/05,安定區,海寮里,1
2015/08/05,東區,東光里,1
2015/08/05,北區,中樓里,1
2015/08/05,北區,文元里,1
2015/08/05,南區,大恩里,2
2015/08/05,東區,裕農里,2
2015/08/05,安南區,溪東里,1
2015/08/05,安南區,海南里,1
2015/08/05,北區,正覺里,4
2015/08/05,安南區,溪頂里,3
2015/08/05,東區,東明里,1
2015/08/05,中西區,三合里,1
2015/08/05,中西區,仙草里,1
2015/08/05,安南區,淵東里,1
2015/08/05,永康區,勝利里,2
2015/08/05,北區,小康里,1
2015/08/05,七股區,義合里,1
2015/08/05,永康區,三合里,1
2015/08/05,東區,龍山里,1
2015/08/05,東區,路東里,1
2015/08/05,新市區,港墘里,1
2015/08/05,北區,五福里,2
2015/08/05,北區,長德里,1
2015/08/05,安平區,怡平里,1
2015/08/05,北區,勝安里,1
2015/08/05,中西區,中正里,1
2015/08/05,中西區,保安里,1
2015/08/05,永康區,埔園里,1
2015/08/05,安南區,安富里,2
2015/08/05,北區,正風里,1
2015/08/05,北區,成德里,4
2015/08/05,中西區,民權里,2
2015/08/05,東區,崇明里,1
2015/08/05,北區,國姓里,4
2015/08/05,南區,南華里,1
2015/08/05,歸仁區,新厝里,1
2015/08/05,東區,崇信里,1
2015/08/05,中西區,郡王里,1
2015/08/05,麻豆區,中民里,1
2015/08/05,東區,泉南里,1
2015/08/05,永康區,西灣里,1
2015/08/05,南區,喜北里,1
2015/08/05,東區,東門里,1
2015/08/06,歸仁區,大廟里,1
2015/08/06,北區,興北里,1
2015/08/06,安南區,海東里,1
2015/08/06,北區,實踐里,1
2015/08/06,安平區,文平里,2
2015/08/06,中西區,郡西里,1
2015/08/06,北區,成功里,1
2015/08/06,東區,圍下里,1
2015/08/06,東區,東光里,1
2015/08/06,北區,中樓里,1
2015/08/06,北區,文元里,3
2015/08/06,永康區,六合里,1
