區別,里別,'08/03-08/09','08/10-08/16','08/17-08/23','08/24-08/30','08/31-09/06','09/07-09/13','09/14-09/20','09/21-09/27','09/28-10/04','10/05-10/11','10/12-10/18','10/19-10/25','10/26-11/01','11/02-11/08','11/09-11/15','11/16-11/22','11/23-11/29','11/30-12/06'
北區,成德里,16,9,18,28,24,42,26,22,13,9,16,11,2,4,2,2,1,0
北區,延平里,7,7,36,18,26,26,19,16,2,3,7,6,2,1,0,0,0,0
善化區,文昌里,0,2,0,1,1,2,4,0,0,0,0,0,0,0,0,1,0,0
安南區,溪頂里,5,6,13,14,12,23,18,15,10,9,7,5,0,0,0,0,0,0
北區,正覺里,26,28,24,28,34,36,45,45,29,10,3,0,1,1,0,0,0,0
安南區,安東里,0,0,0,6,2,0,2,6,4,2,1,0,1,1,0,1,0,0
北區,正風里,12,6,11,8,19,34,18,18,13,5,3,2,1,1,1,0,0,0
永康區,大橋里,0,0,5,15,18,24,13,24,15,15,10,1,3,1,0,0,0,0
永康區,中興里,3,0,3,4,7,2,9,13,13,9,5,2,1,1,0,2,0,0
安平區,建平里,1,0,2,3,5,10,23,14,8,2,7,1,4,1,0,0,0,0
北區,和順里,9,8,17,24,29,28,34,35,11,15,9,5,4,2,1,1,0,0
仁德區,後壁里,0,0,1,1,1,7,3,9,3,2,4,1,3,0,0,0,0,1
北區,六甲里,14,14,22,25,27,23,19,17,8,2,2,0,1,0,0,0,0,0
永康區,復國里,0,1,2,5,3,16,6,14,5,5,6,8,5,0,0,0,2,0
安平區,金城里,0,1,0,1,0,1,6,2,5,4,5,0,0,0,0,0,0,0
安平區,國平里,1,2,1,7,4,11,13,8,9,6,6,1,5,2,1,0,0,0
北區,文成里,0,8,8,17,7,13,16,11,17,16,21,3,0,2,0,0,1,1
新化區,全興里,0,0,0,2,2,1,2,1,1,1,1,0,1,1,0,0,0,0
新市區,大社里,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
安南區,州北里,0,0,1,2,2,5,0,1,3,1,0,0,1,0,0,0,0,0
安南區,安順里,0,2,0,0,3,3,4,2,5,4,0,1,1,0,0,0,0,0
安平區,平安里,1,0,1,3,1,6,20,10,13,3,7,1,2,2,1,0,0,0
北區,大山里,1,2,10,4,10,2,3,7,9,0,0,1,0,0,0,0,0,0
北區,成功里,4,4,18,17,27,33,20,20,24,15,7,3,2,0,0,1,0,0
安定區,港口里,0,0,0,1,0,3,0,2,0,1,0,0,1,0,0,0,0,0
安南區,鳳凰里,2,1,1,2,3,7,3,4,1,1,1,1,3,1,1,0,0,0
中西區,大涼里,0,2,2,5,12,27,20,29,7,8,5,2,3,1,0,1,1,0
北區,大道里,2,1,2,3,6,8,9,22,10,7,4,2,0,0,0,0,1,1
北區,興南里,3,4,9,11,18,18,20,17,5,4,3,2,0,1,0,1,0,0
北區,勝安里,5,3,3,16,5,7,7,15,6,5,4,1,0,2,1,1,0,0
中西區,赤嵌里,1,1,1,3,2,3,12,14,20,14,4,4,4,1,0,1,1,1
中西區,民權里,1,6,13,16,26,41,38,24,15,12,1,0,0,0,0,0,0,0
南區,府南里,0,0,4,1,9,21,22,35,15,13,21,17,7,8,1,1,0,0
安南區,溪心里,0,0,3,1,0,2,10,9,3,7,6,2,1,0,0,1,0,1
關廟區,北勢里,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
北區,實踐里,3,11,19,19,24,33,20,17,4,6,5,3,0,2,1,1,0,0
