日期,區別,里別,病例數
2015/06/01,左營區,莒光里,0
2015/06/02,楠梓區,隆昌里,0
2015/06/02,左營區,莒光里,1
2015/06/02,鼓山區,桃源里,1
2015/06/03,楠梓區,隆昌里,1
2015/06/03,三民區,安和里,0
2015/06/05,鼓山區,山下里,1
2015/06/05,左營區,光輝里,0
2015/06/05,楠梓區,盛昌里,1
2015/06/06,左營區,莒光里,0
2015/06/08,左營區,光輝里,0
2015/06/09,三民區,鼎金里,1
2015/06/09,左營區,光輝里,1
2015/06/09,楠梓區,宏榮里,0
2015/06/09,楠梓區,宏南里,1
2015/06/10,左營區,莒光里,2
2015/06/10,楠梓區,宏榮里,1
2015/06/10,楠梓區,慶昌里,1
2015/06/11,左營區,莒光里,0
2015/06/12,左營區,莒光里,1
2015/06/12,楠梓區,裕昌里,1
2015/06/12,楠梓區,宏榮里,0
2015/06/13,楠梓區,宏榮里,0
2015/06/16,楠梓區,隆昌里,0
2015/06/17,左營區,屏山里,0
2015/06/19,左營區,莒光里,0
2015/06/20,左營區,莒光里,2
2015/06/23,左營區,新上里,0
2015/06/25,楠梓區,翠屏里,1
2015/06/25,左營區,莒光里,1
2015/06/26,楠梓區,建昌里,0
2015/06/28,仁武區,文武里,0
2015/06/30,楠梓區,宏南里,0
2015/07/01,三民區,達明里,0
2015/07/02,左營區,自助里,0
2015/07/03,楠梓區,宏榮里,0
2015/07/06,楠梓區,宏榮里,0
2015/07/07,楠梓區,興昌里,0
2015/07/10,三民區,達勇里,1
2015/07/10,楠梓區,興昌里,0
2015/07/14,仁武區,烏林里,1
2015/07/14,左營區,頂北里,0
2015/07/16,鼓山區,龍水里,0
2015/07/20,岡山區,後協里,0
2015/07/21,楠梓區,宏毅里,1
2015/07/21,新興區,榮治里,0
2015/07/22,三民區,鼎西里,0
2015/07/22,左營區,頂北里,1
2015/07/23,前鎮區,瑞竹里,0
2015/07/25,路竹區,竹南里,0
2015/07/25,大寮區,山頂里,1
2015/07/28,左營區,福山里,1
2015/07/28,前鎮區,平等里,0
2015/07/28,三民區,寶國里,1
2015/07/29,左營區,菜公里,0
2015/07/30,三民區,安東里,0
2015/08/01,左營區,新上里,0
2015/08/01,仁武區,烏林里,1
2015/08/01,三民區,寶德里,1
2015/08/01,茄萣區,嘉樂里,1
2015/08/02,大社區,保安里,0
2015/08/02,鼓山區,華豐里,1
2015/08/03,左營區,頂西里,0
2015/08/04,美濃區,瀰濃里,0
2015/08/04,左營區,福山里,1
2015/08/05,左營區,莒光里,0
2015/08/05,鳥松區,夢裡里,1
2015/08/05,前金區,東金里,1
2015/08/05,左營區,頂北里,1
2015/08/05,鳳山區,瑞竹里,1
2015/08/05,左營區,埤東里,1
2015/08/06,三民區,鼎強里,1
2015/08/06,鳳山區,瑞竹里,1
2015/08/06,三民區,安邦里,0
2015/08/06,新興區,振成里,1
2015/08/07,阿蓮區,南蓮里,1
2015/08/07,左營區,頂北里,0
2015/08/07,鼓山區,建國里,1
2015/08/09,楠梓區,惠民里,1
2015/08/09,三民區,本揚里,0
2015/08/09,林園區,港嘴里,1
2015/08/09,苓雅區,福居里,1
2015/08/09,左營區,頂北里,1
2015/08/09,鳳山區,埤頂里,1
2015/08/09,三民區,鼎強里,1
2015/08/09,三民區,鼎中里,1
2015/08/09,鼓山區,內惟里,1
2015/08/10,旗津區,復興里,0
2015/08/11,鳳山區,鎮東里,1
2015/08/11,鳥松區,夢裡里,1
2015/08/11,左營區,尾北里,1
2015/08/11,三民區,德北里,1
2015/08/12,仁武區,中華里,1
2015/08/12,三民區,本元里,0
2015/08/12,楠梓區,惠楠里,1
2015/08/12,左營區,頂西里,1
2015/08/12,三民區,鼎強里,1
2015/08/12,左營區,中北里,1
2015/08/12,大寮區,山頂里,1
2015/08/12,三民區,鼎力里,1
2015/08/13,三民區,鼎力里,0
2015/08/13,左營區,頂北里,1
2015/08/14,楠梓區,隆昌里,0
2015/08/14,三民區,寶德里,1
2015/08/14,鳳山區,忠孝里,1
2015/08/14,三民區,寶玉里,1
2015/08/14,路竹區,甲南里,1
2015/08/14,三民區,鼎強里,1
2015/08/14,路竹區,竹滬里,1
2015/08/14,三民區,鼎力里,1
2015/08/14,三民區,鼎盛里,1
2015/08/15,左營區,新上里,0
2015/08/15,鳥松區,大華里,1
2015/08/15,三民區,德北里,3
2015/08/15,鼓山區,龍水里,1
2015/08/15,三民區,鼎力里,2
2015/08/15,大社區,神農里,2
2015/08/16,仁武區,八卦里,0
2015/08/16,三民區,本武里,1
2015/08/16,左營區,新中里,1
2015/08/16,左營區,頂北里,1
2015/08/16,三民區,德北里,3
2015/08/16,三民區,德智里,1
2015/08/16,苓雅區,正大里,1
2015/08/16,三民區,本和里,1
2015/08/17,仁武區,八卦里,1
2015/08/17,左營區,海勝里,1
2015/08/17,鳥松區,大華里,0
2015/08/17,新興區,文昌里,1
2015/08/17,仁武區,赤山里,1
2015/08/17,仁武區,高楠里,1
2015/08/17,路竹區,社南里,1
2015/08/18,前金區,青山里,0
2015/08/18,鳳山區,鎮北里,1
2015/08/18,三民區,本武里,1
2015/08/18,三民區,安泰里,1
2015/08/18,楠梓區,金田里,1
2015/08/18,大寮區,山頂里,1
2015/08/18,路竹區,竹滬里,1
2015/08/18,鳳山區,海洋里,1
2015/08/18,左營區,明建里,1
2015/08/18,岡山區,壽峰里,1
2015/08/18,左營區,頂北里,1
2015/08/18,三民區,德北里,2
2015/08/18,鳳山區,龍成里,1
2015/08/18,三民區,鼎強里,2
2015/08/18,前鎮區,平等里,1
2015/08/18,三民區,鼎西里,1
2015/08/18,鳳山區,過埤里,1
2015/08/18,三民區,鼎力里,1
2015/08/18,左營區,新下里,1
2015/08/19,鳳山區,鎮北里,0
2015/08/19,三民區,本武里,1
2015/08/19,三民區,寶業里,1
2015/08/19,橋頭區,橋頭里,1
2015/08/19,苓雅區,普照里,2
2015/08/19,前鎮區,明道里,1
2015/08/19,苓雅區,福地里,1
2015/08/19,左營區,福山里,1
2015/08/19,三民區,鼎強里,1
2015/08/19,三民區,鼎西里,1
2015/08/19,三民區,鼎力里,1
2015/08/19,大社區,觀音里,1
2015/08/20,鳳山區,鎮北里,1
2015/08/20,三民區,本武里,2
2015/08/20,路竹區,竹園里,1
2015/08/20,大樹區,三和里,1
2015/08/20,三民區,本揚里,1
2015/08/20,大寮區,琉球里,1
2015/08/20,前金區,東金里,0
2015/08/20,三民區,寶玉里,1
2015/08/20,三民區,鼎西里,1
2015/08/20,三民區,鼎強里,2
2015/08/20,左營區,新下里,1
2015/08/20,三民區,鼎力里,2
2015/08/20,茄萣區,嘉泰里,1
2015/08/21,三民區,本武里,2
2015/08/21,三民區,鼎西里,1
2015/08/21,苓雅區,正仁里,1
2015/08/21,三民區,鼎盛里,1
2015/08/21,左營區,新下里,1
2015/08/21,三民區,立業里,1
2015/08/21,鳳山區,國富里,0
2015/08/21,湖內區,太爺里,1
2015/08/21,左營區,福山里,1
2015/08/21,大樹區,小坪里,1
2015/08/21,三民區,鼎強里,2
2015/08/21,楠梓區,翠屏里,1
2015/08/21,三民區,鼎力里,4
2015/08/21,前金區,東金里,1
2015/08/22,三民區,本元里,1
2015/08/22,三民區,本武里,2
2015/08/22,三民區,寶玉里,1
2015/08/22,左營區,廍南里,1
2015/08/22,左營區,城南里,1
2015/08/22,三民區,鼎中里,1
2015/08/22,路竹區,竹東里,1
2015/08/22,左營區,新上里,1
2015/08/22,鼓山區,壽山里,1
2015/08/22,仁武區,仁武里,1
2015/08/22,三民區,安發里,1
2015/08/22,苓雅區,普照里,1
2015/08/22,三民區,鼎強里,1
2015/08/22,前鎮區,明正里,0
2015/08/22,左營區,中北里,1
2015/08/22,鼓山區,龍水里,1
2015/08/22,三民區,鼎力里,2
2015/08/23,路竹區,社中里,1
2015/08/23,三民區,本武里,1
2015/08/23,三民區,德北里,1
2015/08/23,三民區,灣利里,1
2015/08/23,鳳山區,新泰里,1
2015/08/23,三民區,灣華里,1
2015/08/23,前鎮區,瑞北里,1
2015/08/23,前鎮區,民權里,1
2015/08/23,梓官區,大舍里,1
2015/08/23,大社區,保安里,1
2015/08/23,苓雅區,普照里,2
2015/08/23,旗津區,振興里,1
2015/08/23,仁武區,灣內里,1
2015/08/23,三民區,鼎力里,2
2015/08/24,新興區,東坡里,1
2015/08/24,鼓山區,光榮里,1
2015/08/24,三民區,鼎力里,5
2015/08/24,仁武區,仁慈里,1
2015/08/24,苓雅區,普照里,1
2015/08/24,三民區,寶興里,1
2015/08/24,鼓山區,雄峰里,1
2015/08/24,楠梓區,大昌里,1
2015/08/24,茄萣區,嘉賜里,1
2015/08/25,三民區,本武里,1
2015/08/25,左營區,頂北里,1
2015/08/25,鳳山區,鎮西里,1
2015/08/25,三民區,安泰里,0
2015/08/25,仁武區,竹後里,1
2015/08/25,前鎮區,竹南里,1
2015/08/25,三民區,本和里,1
2015/08/25,左營區,菜公里,1
2015/08/25,鳳山區,福興里,1
2015/08/25,苓雅區,中正里,1
2015/08/25,三民區,寶玉里,1
2015/08/25,楠梓區,錦屏里,1
2015/08/25,左營區,福山里,1
2015/08/25,左營區,中南里,1
2015/08/25,楠梓區,興昌里,1
2015/08/25,苓雅區,博仁里,1
2015/08/25,三民區,鼎西里,2
2015/08/25,新興區,正氣里,1
2015/08/25,前鎮區,振興里,1
2015/08/25,鳳山區,大德里,1
2015/08/25,旗津區,上竹里,3
2015/08/25,苓雅區,普照里,1
2015/08/25,三民區,鼎強里,2
2015/08/25,左營區,廟東里,1
2015/08/25,前鎮區,德昌里,1
2015/08/25,三民區,千歲里,1
2015/08/25,三民區,鼎力里,5
2015/08/25,三民區,本安里,2
2015/08/26,路竹區,文南里,1
2015/08/26,左營區,新上里,1
2015/08/26,三民區,本武里,1
2015/08/26,鳥松區,鳥松里,1
2015/08/26,岡山區,嘉興里,1
2015/08/26,三民區,鼎泰里,1
2015/08/26,燕巢區,西燕里,1
2015/08/26,苓雅區,正仁里,1
2015/08/26,三民區,本元里,1
2015/08/26,林園區,廣應里,1
2015/08/26,苓雅區,林富里,1
2015/08/26,苓雅區,普照里,1
2015/08/26,三民區,鼎強里,1
2015/08/26,鳳山區,國光里,1
2015/08/26,鼓山區,龍水里,1
2015/08/26,三民區,鼎力里,2
2015/08/27,鳳山區,興中里,1
2015/08/27,三民區,本元里,1
2015/08/27,三民區,灣利里,1
2015/08/27,左營區,尾北里,1
2015/08/27,前金區,社西里,0
2015/08/27,苓雅區,正仁里,1
2015/08/27,三民區,鼎盛里,1
2015/08/27,苓雅區,文昌里,1
2015/08/27,左營區,海勝里,1
2015/08/27,鳳山區,中正里,1
2015/08/27,三民區,鼎力里,3
2015/08/27,苓雅區,普照里,1
2015/08/27,仁武區,仁慈里,1
2015/08/27,左營區,菜公里,1
2015/08/27,三民區,鳳北里,1
2015/08/27,苓雅區,安祥里,1
2015/08/27,三民區,正興里,1
2015/08/28,苓雅區,鼓中里,1
2015/08/28,三民區,鼎泰里,2
2015/08/28,左營區,城南里,1
2015/08/28,鼓山區,明誠里,1
2015/08/28,左營區,菜公里,1
2015/08/28,楠梓區,中和里,1
2015/08/28,鳳山區,忠孝里,1
2015/08/28,苓雅區,普照里,1
2015/08/28,三民區,寶興里,1
2015/08/28,三民區,鼎強里,1
2015/08/28,前金區,社西里,1
2015/08/28,苓雅區,林貴里,0
2015/08/28,三民區,鼎力里,2
2015/08/28,苓雅區,城東里,1
2015/08/29,三民區,寶玉里,1
2015/08/29,左營區,尾西里,1
2015/08/29,左營區,新中里,2
2015/08/29,三民區,寶龍里,1
2015/08/29,鳳山區,老爺里,1
2015/08/29,燕巢區,西燕里,1
2015/08/29,三民區,本揚里,1
2015/08/29,楠梓區,久昌里,1
2015/08/29,鹽埕區,府北里,1
2015/08/29,三民區,本元里,1
2015/08/29,三民區,鼎泰里,2
2015/08/29,茄萣區,白雲里,0
2015/08/29,三民區,博愛里,1
2015/08/29,三民區,鼎強里,1
2015/08/29,三民區,鼎力里,1
2015/08/30,小港區,坪頂里,1
2015/08/30,三民區,本武里,1
2015/08/30,左營區,新中里,1
2015/08/30,苓雅區,廣澤里,1
2015/08/30,湖內區,葉厝里,0
2015/08/30,鳳山區,協和里,2
2015/08/30,左營區,新光里,1
2015/08/30,阿蓮區,南蓮里,2
2015/08/30,前鎮區,瑞隆里,1
2015/08/30,大樹區,井腳里,1
2015/08/30,仁武區,赤山里,1
2015/08/30,左營區,福山里,1
2015/08/31,前金區,青山里,1
2015/08/31,苓雅區,福東里,1
2015/08/31,左營區,菜公里,1
2015/08/31,苓雅區,林德里,1
2015/08/31,仁武區,文武里,0
2015/08/31,苓雅區,普照里,1
2015/08/31,湖內區,公舘里,1
2015/08/31,大社區,大社里,1
2015/08/31,三民區,鼎力里,1
2015/09/01,苓雅區,正道里,1
2015/09/01,前鎮區,瑞北里,1
2015/09/01,三民區,寶業里,1
2015/09/01,鳳山區,瑞竹里,1
2015/09/01,大社區,觀音里,1
2015/09/01,三民區,安吉里,1
2015/09/01,鳳山區,福誠里,1
2015/09/01,左營區,菜公里,3
2015/09/01,苓雅區,田西里,1
2015/09/01,三民區,本館里,1
2015/09/01,前金區,東金里,2
2015/09/01,三民區,寶玉里,1
2015/09/01,仁武區,赤山里,1
2015/09/01,三民區,安邦里,1
2015/09/01,鳳山區,中榮里,1
2015/09/01,楠梓區,興昌里,1
2015/09/01,前鎮區,明義里,1
2015/09/01,三民區,寶華里,1
2015/09/01,楠梓區,清豐里,1
2015/09/01,湖內區,中賢里,1
2015/09/01,大樹區,龍目里,0
2015/09/01,三民區,鼎盛里,1
2015/09/01,梓官區,大舍里,1
2015/09/01,苓雅區,普照里,1
2015/09/01,三民區,鼎強里,1
2015/09/01,左營區,廟東里,1
2015/09/01,三民區,鳳北里,1
2015/09/01,三民區,鼎力里,5
2015/09/02,苓雅區,文昌里,1
2015/09/02,鼓山區,光榮里,1
2015/09/02,三民區,本武里,1
2015/09/02,三民區,寶玉里,1
2015/09/02,三民區,鼎泰里,1
2015/09/02,左營區,城南里,1
2015/09/02,三民區,安生里,1
2015/09/02,大社區,觀音里,1
2015/09/02,大樹區,九曲里,1
2015/09/02,苓雅區,正大里,1
2015/09/02,三民區,同德里,1
2015/09/02,楠梓區,瑞屏里,1
2015/09/02,三民區,寶華里,1
2015/09/02,三民區,鼎力里,1
2015/09/02,湖內區,葉厝里,1
2015/09/02,茄萣區,大定里,1
2015/09/02,前鎮區,平等里,1
2015/09/02,新興區,德生里,1
2015/09/02,鹽埕區,陸橋里,1
2015/09/03,三民區,灣子里,1
2015/09/03,三民區,寶業里,1
2015/09/03,前金區,北金里,1
2015/09/03,三民區,十美里,1
2015/09/03,前金區,長興里,1
2015/09/03,茄萣區,嘉賜里,1
2015/09/03,三民區,興德里,1
2015/09/03,鳥松區,大華里,1
2015/09/03,楠梓區,惠民里,0
2015/09/03,前金區,東金里,1
2015/09/03,三民區,寶玉里,1
2015/09/03,彌陀區,舊港里,1
2015/09/03,左營區,福山里,2
2015/09/03,三民區,正順里,1
2015/09/03,大寮區,三隆里,1
2015/09/03,苓雅區,晴朗里,2
2015/09/03,左營區,菜公里,2
2015/09/03,左營區,新中里,1
2015/09/03,新興區,明莊里,1
2015/09/03,鳳山區,善美里,1
2015/09/03,三民區,鼎盛里,1
2015/09/03,苓雅區,林圍里,1
2015/09/03,前鎮區,瑞平里,1
2015/09/03,小港區,高松里,1
2015/09/03,三民區,鼎強里,1
2015/09/03,左營區,廟東里,1
2015/09/03,苓雅區,苓洲里,1
2015/09/03,三民區,鼎力里,4
2015/09/04,三民區,本武里,1
2015/09/04,三民區,寶龍里,1
2015/09/04,梓官區,中崙里,1
2015/09/04,三民區,十美里,2
2015/09/04,三民區,寶盛里,1
2015/09/04,仁武區,八卦里,1
2015/09/04,三民區,寶華里,1
2015/09/04,前鎮區,明正里,1
2015/09/04,三民區,寶玉里,1
2015/09/04,三民區,鼎強里,0
2015/09/04,三民區,鼎盛里,1
2015/09/04,苓雅區,晴朗里,1
2015/09/04,仁武區,文武里,1
2015/09/04,左營區,新上里,3
2015/09/04,三民區,建東里,1
2015/09/04,前金區,草江里,1
2015/09/04,左營區,新中里,4
2015/09/04,三民區,鼎泰里,1
2015/09/04,三民區,安東里,1
2015/09/04,旗津區,上竹里,1
2015/09/04,左營區,新光里,1
2015/09/04,左營區,明建里,2
2015/09/04,鳳山區,文德里,1
2015/09/04,林園區,王公里,1
2015/09/04,鳳山區,誠義里,1
2015/09/04,苓雅區,普照里,2
2015/09/04,苓雅區,福西里,1
2015/09/04,林園區,廣應里,1
2015/09/04,左營區,廟東里,1
2015/09/04,楠梓區,久昌里,1
2015/09/04,左營區,廟北里,1
2015/09/04,三民區,鼎力里,3
2015/09/05,鹽埕區,博愛里,1
2015/09/05,前金區,社東里,1
2015/09/05,苓雅區,正道里,1
2015/09/05,大寮區,會社里,1
2015/09/05,苓雅區,日中里,1
2015/09/05,鳳山區,文山里,1
2015/09/05,楠梓區,清豐里,1
2015/09/05,苓雅區,林華里,1
2015/09/05,苓雅區,普照里,1
2015/09/05,大社區,觀音里,1
2015/09/05,大社區,保社里,1
2015/09/05,前金區,長興里,2
2015/09/05,鳳山區,福誠里,1
2015/09/05,左營區,菜公里,1
2015/09/05,鳥松區,大華里,4
2015/09/05,鼓山區,樹德里,1
2015/09/05,三民區,鼎強里,4
2015/09/05,阿蓮區,石安里,1
2015/09/05,三民區,寶安里,1
2015/09/05,湖內區,大湖里,1
2015/09/05,三民區,鼎金里,1
2015/09/05,三民區,本文里,2
2015/09/05,苓雅區,林靖里,1
2015/09/05,三民區,鼎泰里,2
2015/09/05,苓雅區,福南里,1
2015/09/05,旗津區,上竹里,2
2015/09/05,三民區,鼎盛里,1
2015/09/05,仁武區,赤山里,1
2015/09/05,三民區,寶珠里,1
2015/09/05,楠梓區,五常里,1
