區別,里別,'10/01-10/07','10/08-10/14','10/15-10/21','10/22-10/28','10/29-11/04','11/05-11/11','11/12-11/18','11/19-11/25','11/26-12/02','12/03-12/09','12/10-12/16','12/17-12/23','12/24-12/30','12/31-01/06','01/07-01/13','01/14-01/20','01/21-01/27','01/28-02/03','02/04-02/10'
苓雅區,正義里,3,9,4,0,2,2,2,6,2,0,0,0,0,1,0,0,0,0,0
鳳山區,海光里,0,1,0,4,3,3,4,6,3,2,0,2,0,0,0,0,0,0,0
鳳山區,瑞興里,0,0,0,2,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0
岡山區,後紅里,0,0,0,2,1,1,0,9,4,2,2,6,4,1,0,0,0,0,0
楠梓區,清豐里,4,4,2,3,0,2,6,8,3,4,4,0,0,1,0,0,0,0,0
美濃區,吉和里,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
鼓山區,華豐里,4,12,12,10,10,4,10,4,7,1,0,2,0,2,0,0,0,0,0
大寮區,後庄里,0,1,1,1,0,0,2,1,9,7,3,2,2,0,0,0,0,0,0
楠梓區,惠楠里,0,0,0,0,2,1,2,1,1,1,2,0,0,0,0,0,0,0,0
旗津區,上竹里,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
鳳山區,文華里,0,0,0,0,3,7,11,6,6,1,3,0,0,1,1,0,0,0,0
三民區,寶獅里,1,0,3,3,3,3,15,5,2,5,1,2,2,0,1,0,0,0,0
左營區,果惠里,2,0,1,4,2,2,4,3,1,2,0,0,1,0,0,0,0,0,0
前鎮區,明正里,2,2,2,3,8,4,8,11,16,14,4,4,1,1,0,1,0,0,0
前鎮區,忠誠里,0,0,0,1,4,2,4,2,2,3,3,0,0,0,0,0,0,0,0
三民區,寶德里,0,1,3,4,5,4,3,2,5,8,0,4,1,0,1,0,0,0,0
大寮區,過溪里,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
鳳山區,過埤里,1,4,3,6,2,2,8,12,6,10,4,5,1,5,0,0,0,0,0
鼓山區,光榮里,1,0,2,6,11,9,18,13,4,3,4,3,1,4,0,0,0,0,0
楠梓區,惠民里,1,1,1,0,2,3,1,3,0,0,2,1,1,0,0,1,0,0,0
苓雅區,中正里,0,0,2,1,2,5,4,2,1,0,1,1,1,0,0,0,0,0,0
前鎮區,竹西里,1,4,5,5,7,8,7,15,6,7,5,0,0,1,1,0,0,0,0
岡山區,岡山里,0,0,0,0,3,2,2,2,3,4,3,1,0,0,0,0,0,0,0
三民區,安東里,2,2,6,5,11,7,8,11,7,4,2,0,1,0,0,0,0,0,0
三民區,鼎泰里,5,6,6,15,15,18,22,18,14,6,2,3,4,2,1,1,0,0,0
苓雅區,普天里,11,8,1,5,0,2,4,5,1,0,3,2,0,0,0,0,0,0,0
三民區,立德里,1,1,2,4,1,5,12,6,1,0,1,0,0,0,0,0,0,0,0
鳳山區,中正里,0,0,2,0,2,0,3,1,2,1,1,1,0,1,0,0,0,0,0
鳳山區,光明里,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
鼓山區,平和里,2,1,3,1,10,10,8,8,9,4,1,0,1,0,0,0,0,0,0
苓雅區,朝陽里,1,0,3,5,12,6,4,2,6,9,3,2,1,1,0,0,0,0,0
左營區,新中里,11,18,8,1,15,10,13,10,5,5,1,0,0,0,0,0,0,0,0
大社區,大社里,5,0,1,3,0,6,4,4,6,4,2,1,0,0,0,0,0,0,0
左營區,莒光里,1,3,3,0,2,3,5,1,1,2,0,0,0,0,0,0,0,0,0
大寮區,大寮里,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,1,0,0,0
左營區,海勝里,2,5,4,12,6,5,7,7,2,3,0,2,0,0,0,0,0,0,0
橋頭區,仕隆里,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
楠梓區,金田里,0,0,4,0,0,4,3,0,3,1,0,0,0,0,1,0,0,0,0
三民區,寶慶里,3,1,3,6,7,7,3,8,3,3,3,0,0,0,1,0,0,0,0
三民區,灣成里,0,1,1,3,1,1,3,3,2,3,0,0,0,0,0,0,0,0,0
三民區,港東里,0,2,1,0,0,2,7,6,7,1,0,0,0,0,0,0,0,0,0
旗山區,瑞吉里,0,0,0,2,4,0,2,1,0,0,2,0,0,0,0,0,0,0,0
左營區,新光里,3,2,3,6,3,13,10,10,11,3,5,0,1,1,1,0,0,0,0
小港區,六苓里,0,0,0,0,0,1,2,3,0,0,2,0,2,0,1,0,0,0,0
仁武區,八卦里,1,4,5,2,9,6,7,7,5,4,0,0,0,1,0,0,0,0,1
鳥松區,大華里,2,2,3,4,1,3,3,6,8,5,0,1,1,2,0,0,0,0,0
前鎮區,瑞昌里,0,0,1,1,3,3,5,24,3,8,0,1,0,0,0,0,0,0,0
左營區,菜公里,5,5,7,9,10,11,13,19,9,4,2,4,1,1,1,0,0,0,0
三民區,力行里,2,4,0,0,1,1,4,0,1,0,2,0,0,0,0,0,0,0,0
鼓山區,明誠里,9,7,9,8,12,9,10,7,9,7,2,3,2,0,1,2,0,1,0
三民區,寶業里,1,2,3,2,13,8,10,9,1,3,4,2,0,2,0,0,1,0,0
鼓山區,雄峰里,0,3,0,1,2,3,3,4,1,1,0,0,0,0,0,0,0,0,0
苓雅區,正言里,0,0,1,2,1,2,3,2,3,2,0,3,1,2,0,0,0,0,0
仁武區,仁武里,0,1,2,0,1,3,2,1,5,1,1,5,0,0,0,0,0,0,0
岡山區,碧紅里,0,0,1,0,2,2,1,3,1,2,5,1,1,0,0,0,0,0,0
苓雅區,晴朗里,1,0,0,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0
三民區,港西里,0,1,1,1,2,1,2,4,0,3,0,0,0,0,0,0,0,0,0
